,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
1,26/04/2019 03:40 PM,31,FanOff,49,188,ExhFanOFF,114,LightOFF,75,PumpOff,ProcessOFF
2,26/04/2019 03:39 PM,31,FanOff,50,182,ExhFanOFF,158,LightOFF,75,PumpOff,ProcessOFF
3,26/04/2019 03:39 PM,31,FanOff,50,183,ExhFanOFF,137,LightOFF,75,PumpOff,ProcessOFF
4,26/04/2019 03:38 PM,31,FanOff,50,189,ExhFanOFF,165,LightOFF,75,PumpOff,ProcessOFF
5,26/04/2019 03:38 PM,31,FanOff,50,190,ExhFanOFF,117,LightOFF,45,PumpOff,ProcessOFF
6,26/04/2019 03:37 PM,31,FanOff,50,191,ExhFanOFF,141,LightOFF,45,PumpOff,ProcessOFF
7,26/04/2019 03:37 PM,31,FanOff,50,190,ExhFanOFF,169,LightOFF,45,PumpOff,ProcessOFF
8,26/04/2019 03:36 PM,31,FanOff,51,192,ExhFanOFF,116,LightOFF,45,PumpOff,ProcessOFF
9,26/04/2019 03:35 PM,31,FanOff,50,185,ExhFanOFF,165,LightOFF,45,PumpOff,ProcessOFF
10,26/04/2019 03:35 PM,31,FanOff,50,193,ExhFanOFF,512,LightOn,45,PumpOff,ProcessOFF
11,26/04/2019 03:34 PM,31,FanOff,50,194,ExhFanOFF,145,LightOFF,45,PumpOff,ProcessOFF
12,26/04/2019 03:33 PM,30,FanOff,49,196,ExhFanOFF,118,LightOFF,45,PumpOff,ProcessOFF
13,26/04/2019 03:33 PM,31,FanOff,50,195,ExhFanOFF,170,LightOFF,45,PumpOff,ProcessOFF
14,26/04/2019 03:32 PM,30,FanOff,49,200,ExhFanOFF,177,LightOFF,40,PumpOn,ProcessOFF
15,26/04/2019 03:30 PM,30,FanOff,49,201,ExhFanOFF,163,LightOFF,45,PumpOff,ProcessOFF
16,26/04/2019 03:30 PM,30,FanOff,49,203,ExhFanOFF,175,LightOFF,45,PumpOff,ProcessOFF
17,26/04/2019 03:29 PM,30,FanOff,49,205,ExhFanOFF,178,LightOFF,60,PumpOff,ProcessOFF
18,26/04/2019 03:29 PM,30,FanOff,50,211,ExhFanOFF,126,LightOFF,100,PumpOff,ProcessOFF
19,26/04/2019 03:28 PM,30,FanOff,50,219,ExhFanOFF,157,LightOFF,100,PumpOff,ProcessOFF
20,26/04/2019 03:27 PM,30,FanOff,50,220,ExhFanOFF,180,LightOFF,75,PumpOff,ProcessOFF
21,26/04/2019 03:27 PM,30,FanOff,50,228,ExhFanOFF,193,LightOFF,75,PumpOff,ProcessOFF
22,26/04/2019 02:49 PM,32,FanOff,51,185,ExhFanOFF,150,LightOFF,75,PumpOff,ProcessOFF
23,26/04/2019 02:48 PM,32,FanOff,52,196,ExhFanOFF,555,LightOn,75,PumpOff,ProcessOFF
24,26/04/2019 02:47 PM,32,FanOff,52,196,ExhFanOFF,171,LightOFF,75,PumpOff,ProcessOFF
25,26/04/2019 02:47 PM,32,FanOff,52,196,ExhFanOFF,170,LightOFF,75,PumpOff,ProcessOFF
26,26/04/2019 02:46 PM,32,FanOff,52,197,ExhFanOFF,118,LightOFF,75,PumpOff,ProcessOFF
27,26/04/2019 02:46 PM,32,FanOff,52,198,ExhFanOFF,119,LightOFF,75,PumpOff,ProcessOFF
28,26/04/2019 02:45 PM,32,FanOff,52,199,ExhFanOFF,117,LightOFF,75,PumpOff,ProcessOFF
29,26/04/2019 02:44 PM,32,FanOff,52,199,ExhFanOFF,121,LightOFF,75,PumpOff,ProcessOFF
30,26/04/2019 02:44 PM,32,FanOff,52,200,ExhFanOFF,174,LightOFF,75,PumpOff,ProcessOFF
31,26/04/2019 02:43 PM,32,FanOff,53,205,ExhFanOFF,180,LightOFF,40,PumpOn,ProcessOFF
32,26/04/2019 02:43 PM,32,FanOff,53,201,ExhFanOFF,170,LightOFF,75,PumpOff,ProcessOFF
33,26/04/2019 02:41 PM,32,FanOff,53,207,ExhFanOFF,177,LightOFF,75,PumpOff,ProcessOFF
